ID,Gene.symbol,Gene.title
ILMN_1812297,CYP26B1,cytochrome P450 family 26 subfamily B member 1
ILMN_2392803,COL11A1,collagen type XI alpha 1 chain
ILMN_1730612,DBNDD2,dysbindin domain containing 2
ILMN_1780349,TPR,"translocated promoter region, nuclear basket protein"
ILMN_1677636,COMP,cartilage oligomeric matrix protein
ILMN_1768425,TF,transferrin
ILMN_1730945,TMEM59L,transmembrane protein 59 like
ILMN_2207504,LEP,leptin
ILMN_1720048,CCL2,C-C motif chemokine ligand 2
ILMN_1724493,LYSMD2,LysM domain containing 2
ILMN_1789507,COL11A1,collagen type XI alpha 1 chain
ILMN_1722898,SFRP2,secreted frizzled related protein 2
ILMN_1744929,PTGER1,prostaglandin E receptor 1
ILMN_1797191,KIAA0040,KIAA0040
ILMN_1677200,CYFIP2,cytoplasmic FMR1 interacting protein 2
ILMN_2349393,MDK,midkine (neurite growth-promoting factor 2)
ILMN_1706969,BEND6,BEN domain containing 6
ILMN_1748093,PAFAH1B3,platelet activating factor acetylhydrolase 1b catalytic subunit 3
ILMN_1673773,GALNT18,polypeptide N-acetylgalactosaminyltransferase 18
ILMN_1726928,TCEA3,transcription elongation factor A3
ILMN_1763763,RIPK3,receptor interacting serine/threonine kinase 3
ILMN_1685714,INHBB,inhibin beta B subunit
ILMN_1733756,COL12A1,collagen type XII alpha 1 chain
ILMN_1681515,CRLF1,cytokine receptor like factor 1
ILMN_1774982,CDC42EP5,CDC42 effector protein 5
ILMN_1736242,,
ILMN_2384745,PSG4,pregnancy specific beta-1-glycoprotein 4
ILMN_1800091,RARRES1,retinoic acid receptor responder 1
ILMN_1658494,RGCC,regulator of cell cycle
ILMN_1823231,,
ILMN_2413956,IGF2,insulin like growth factor 2
ILMN_1770922,TMEM45A,transmembrane protein 45A
ILMN_3237991,LOC645166,lymphocyte-specific protein 1 pseudogene
ILMN_1736178,AEBP1,AE binding protein 1
ILMN_2309156,PMEPA1,"prostate transmembrane protein, androgen induced 1"
ILMN_2405305,ARNTL,aryl hydrocarbon receptor nuclear translocator like
ILMN_1652237,CBR3,carbonyl reductase 3
ILMN_1679391,MAMDC2,MAM domain containing 2
ILMN_1789502,GPC4,glypican 4
ILMN_2388547,EPSTI1,epithelial stromal interaction 1 (breast)
ILMN_2407669,PEAR1,platelet endothelial aggregation receptor 1
ILMN_1685170,ANXA11,annexin A11
ILMN_1802151,OSBPL5,oxysterol binding protein like 5
ILMN_2326273,CHI3L2,chitinase 3 like 2
ILMN_1808251,,
ILMN_1785036,,
ILMN_2307032,OSBPL5,oxysterol binding protein like 5
ILMN_1711988,KCNK12,potassium two pore domain channel subfamily K member 12
ILMN_1795166,PTH1R,parathyroid hormone 1 receptor
ILMN_2296950,APOBEC3F,apolipoprotein B mRNA editing enzyme catalytic subunit 3F
ILMN_1704376,GLDN,gliomedin
ILMN_1697054,LRRN4CL,LRRN4 C-terminal like
ILMN_1699695,TNFRSF21,TNF receptor superfamily member 21
ILMN_1677466,DUSP6,dual specificity phosphatase 6
ILMN_1668559,RGS10,regulator of G-protein signaling 10
ILMN_1766675,CDH6,cadherin 6
ILMN_2402392,COL8A1,collagen type VIII alpha 1 chain
ILMN_1680774,,
ILMN_2054019,ISG15,ISG15 ubiquitin-like modifier
ILMN_1728923,F2RL2,coagulation factor II thrombin receptor like 2
ILMN_2325347,B3GALNT1,"beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)"
ILMN_1744191,SLC6A1,solute carrier family 6 member 1
ILMN_1695759,AMDHD2,amidohydrolase domain containing 2
ILMN_1685699,PRSS3,"protease, serine 3"
ILMN_2368535,FBXO17,F-box protein 17
ILMN_1776151,OLFML1,olfactomedin like 1
ILMN_1807981,,
ILMN_1767006,PSMB8,proteasome subunit beta 8
ILMN_1677432,SRGAP1,SLIT-ROBO Rho GTPase activating protein 1
ILMN_1743620,RARRES1,retinoic acid receptor responder 1
ILMN_1753525,TCEAL7,transcription elongation factor A like 7
ILMN_2104295,TMEM178A,transmembrane protein 178A
ILMN_3289171,,
ILMN_1677814,ABCC3,ATP binding cassette subfamily C member 3
ILMN_1738147,NES,nestin
ILMN_1861896,,
ILMN_1809947,TMEM155,transmembrane protein 155
ILMN_1767365,PAK1,p21 (RAC1) activated kinase 1
ILMN_1707727,ANGPTL4,angiopoietin like 4
ILMN_2376108,PSMB9,proteasome subunit beta 9
ILMN_1678454,CASP4,caspase 4
