ID,logFC,P.Value
ILMN_1812297,2.88720446,0.000011
ILMN_2392803,2.587258,0.0000472
ILMN_1730612,-1.89291262,0.0000768
ILMN_1780349,2.61808369,0.0000822
ILMN_1677636,2.8902893,0.0000878
ILMN_1768425,4.91912328,0.0000998
ILMN_1730945,1.9354677,0.0001176
ILMN_2207504,5.68615651,0.0001533
ILMN_1720048,-2.74131973,0.0001768
ILMN_1724493,-1.42974774,0.000193
ILMN_1789507,2.73531038,0.0002257
ILMN_1722898,3.79259235,0.0002301
ILMN_1744929,-1.79828722,0.0002327
ILMN_1797191,1.80860982,0.0002471
ILMN_1677200,-1.34852751,0.0002527
ILMN_2349393,-2.17649158,0.0002616
ILMN_1706969,-1.29629734,0.0002695
ILMN_1748093,-2.63505003,0.0002761
ILMN_1673773,1.8101996,0.0003126
ILMN_1726928,-1.91843499,0.0003132
ILMN_1763763,-1.43899168,0.0003359
ILMN_1685714,2.80296587,0.0003568
ILMN_1733756,1.84245745,0.0003625
ILMN_1681515,3.00155916,0.0003796
ILMN_1774982,-1.49707648,0.0003884
ILMN_1736242,-1.76221915,0.0004026
ILMN_2384745,-2.25266711,0.0004082
ILMN_1800091,-1.93711659,0.0005137
ILMN_1658494,3.15321512,0.0005971
ILMN_1823231,-1.25532797,0.0006108
ILMN_2413956,2.53289102,0.0006122
ILMN_1770922,1.51262707,0.0006219
ILMN_3237991,-1.15147719,0.000662
ILMN_1736178,-2.37996078,0.0006872
ILMN_2309156,1.91661442,0.000717
ILMN_2405305,1.26057362,0.0007211
ILMN_1652237,-1.42055148,0.000726
ILMN_1679391,1.81776279,0.0007573
ILMN_1789502,1.35815778,0.0008189
ILMN_2388547,-1.26085073,0.0008486
ILMN_2407669,-2.51403518,0.0008542
ILMN_1685170,-0.99517204,0.0008743
ILMN_1802151,1.41581553,0.0008779
ILMN_2326273,4.75673994,0.0008808
ILMN_1808251,-1.256335,0.0008928
ILMN_1785036,-1.13723688,0.0009339
ILMN_2307032,1.48771994,0.0009665
ILMN_1711988,2.20071994,0.0010277
ILMN_1795166,2.6698675,0.001038
ILMN_2296950,-0.99729949,0.0010381
ILMN_1704376,3.86408364,0.0010926
ILMN_1697054,-1.85431714,0.0011232
ILMN_1699695,2.38278402,0.0011531
ILMN_1677466,1.01460284,0.0011878
ILMN_1668559,-1.12044949,0.0012366
ILMN_1766675,-1.34102132,0.001271
ILMN_2402392,1.74313178,0.001289
ILMN_1680774,-1.18516292,0.0012938
ILMN_2054019,-1.24068691,0.0013013
ILMN_1728923,-0.98933025,0.0013174
ILMN_2325347,-1.0209531,0.0014213
ILMN_1744191,1.96076298,0.0014623
ILMN_1695759,-1.00849872,0.0014817
ILMN_1685699,-1.10476088,0.0015327
ILMN_2368535,-1.27097143,0.0015337
ILMN_1776151,-1.98759811,0.0015796
ILMN_1807981,-0.88941487,0.0016589
ILMN_1767006,-1.27992582,0.0017083
ILMN_1677432,-0.92280997,0.0017415
ILMN_1743620,-1.10894758,0.0017453
ILMN_1753525,-1.63367556,0.0018085
ILMN_2104295,1.26544884,0.0018343
ILMN_3289171,-0.82570112,0.0018432
ILMN_1677814,1.8648953,0.0018439
ILMN_1738147,-1.44381054,0.0019907
ILMN_1861896,0.93415879,0.0019944
ILMN_1809947,0.84959591,0.0019977
ILMN_1767365,-0.96619674,0.0020378
ILMN_1707727,2.87013051,0.0020505
ILMN_2376108,-2.12941108,0.0020905
ILMN_1678454,-1.09493267,0.0021004
ILMN_1729117,0.88916776,0.0021049
ILMN_1746376,-1.24164862,0.0021194
ILMN_1764571,-0.96633254,0.0022269
ILMN_1708107,1.80777053,0.0022746
ILMN_1787595,-0.94962483,0.0023294
ILMN_2391861,-1.01267598,0.0023345
ILMN_1774272,0.8572306,0.0023398
ILMN_3236498,0.90118218,0.0023478
