ID_REF,Control_1,Control_2,Control_3,Control_4,SARA_Infected_1,SARA_Infected_2,SARA_Infected_3,SARA_Infected_4
1007_s_at,321.8,257.1,331,366.8,205.2,223.9,262.1,313.5
1053_at,204.8,293.5,217.4,261.8,215.8,265.6,56.1,203.5
117_at,538.6,367,529,362.1,561.1,365.4,275.6,1037.3
121_at,1277.8,880.2,1031.8,1036.1,790.9,1016.1,1165.7,1189.1
1294_at,645.1,593.9,673.9,702.3,628.2,511.1,280.9,690.1
1316_at,190.9,172.5,128.4,199.5,287,202.3,435.4,298.7
1431_at,88.7,51.5,96.4,94.1,88.5,15.4,83.4,77.8
160020_at,799,370.1,316.5,263.2,503.4,314.3,690.2,347.4
1729_at,978.6,717.5,606.5,644.7,619.2,720.3,345.2,774.3
200000_s_at,1526.5,1091.8,1536.5,1595,1159.6,825.8,224.9,1214.3
200001_at,2069,2151.4,3459.1,3615.5,2898.9,3738.1,16.6,2795.4
200002_at,8125.5,8306.5,9654.5,6943,9581.6,8836.1,1512.3,9970.8
200003_s_at,12905.3,13250,14616.1,11493,20007.8,21771.7,3507.4,17065.4
200004_at,5672.5,4943.3,4477.5,4268.7,4923.8,4502.6,6170.8,3218.5
200005_at,2680.2,2416,3459.9,3374.2,2820.2,2228.3,45.6,2203
200006_at,3137.3,4328.1,5241.7,4886.4,6703.2,5675.7,3868.3,6006.3
200007_at,4859.5,3633.8,4639.3,3868.9,5252.7,4169.7,4155.7,3324.1
200008_s_at,2097.3,2824.9,2855.8,2739.4,1283,1741.9,662.5,1484.8
200009_at,4148.3,4688.9,4863,4735.3,5855,5768.7,798.9,5542.1
200010_at,10357.7,10024.6,10863.3,7615,14565.2,12272,1787.3,11661.8
200011_s_at,1188.7,1059.8,1271.2,1257.2,1398.7,1033.8,276.7,807.5
200012_x_at,11912.7,10131.6,11174.7,8191.3,18946.4,23002.7,16944.2,18543.1
200013_at,9892.5,9907.3,12334,9639.6,11576.2,11228.6,713.2,8944.3
200014_s_at,1191.2,1884.1,2024.8,2149.7,1477.6,1185.2,2892.5,1771.9
200015_s_at,3062.1,2234.8,2483.2,2354.1,2199.2,1934.6,4561.7,1105.9
200016_x_at,11541.4,9754.4,10644.1,8493.4,12966.1,12377.2,36406.2,10002.4
200017_at,12943.1,8027,13352.8,11010.9,13613.1,9674.4,14289.8,10561.6
200018_at,16164.1,10398.8,11651.1,8376.6,16346.6,20583,72679.9,20976.5
200019_s_at,7905.1,10462,11115.7,10337.6,16726.2,16373.3,7289,16663.9
200020_at,1614.8,1565.3,1463.3,1571.1,1050.4,1003.6,873.9,751.3
200021_at,11275,11344.2,8783.1,8066.1,19686.3,29988.3,67167.7,19556.1
200022_at,13503.5,9310.2,11234.9,11199.5,15891.7,12248.9,1333.2,8798.9
200023_s_at,2988.5,3114.8,4651,4535.1,5720.4,5402.8,919.6,3501.4
200024_at,8113.9,7414.5,8844.2,6529.7,7161.7,6273.6,239.1,7349
200025_s_at,14209.9,10232.4,13637.5,10622.4,16233.7,17547.9,57527.4,15608.3
200026_at,16744.7,14168,14905.6,11183.5,23416.8,42556.6,27875.9,23710.8
200027_at,2295.9,2292.4,2318.4,2404.6,2002.7,1627.7,10186.5,1285.2
200028_s_at,2413.7,1612.2,1725.4,1888.8,1745.1,1528.6,903.7,1583.3
200029_at,14991.8,12432.4,11941.8,11154.6,18339.2,22101.9,8520.7,18678.2
200030_s_at,4816.9,4137.9,4780.9,4557,6081.9,5784.2,918.6,4801.6
200031_s_at,15123.7,15865.4,15221.3,12364.7,27165.9,35810.5,5466.5,28030.6
200032_s_at,16633.1,15632.4,13731.9,9766.2,22139.7,31936.9,12044.6,25176.1
200033_at,7862.1,8939.6,7538.6,5574.5,6469.8,7576.4,3987.9,5947.7
200034_s_at,9672.5,9388.2,9409.4,7558.2,11603.2,11087.7,1645.7,9407.2
200035_at,701.4,659.1,619,551.1,954.5,1294.1,901.8,1187.8
200036_s_at,5519.2,5688.1,8245.1,7294.7,6850.3,4410.5,1756.2,5078.8
200037_s_at,3775.8,3113.7,2768.1,2359.3,2890.2,2489.4,8933.8,1767.7
200038_s_at,14819.9,12161.3,13234.8,10632.2,17789.9,19972,3417.7,16149
200039_s_at,1403.4,1562.7,1529.2,1322,1876.1,1717.2,1634.7,1852.3
200040_at,4530.3,2313.8,2546.4,2750.1,2486,1917.4,2949.9,1460.4
200041_s_at,4672,3428.3,4668.9,4194.5,3365.4,3210.9,508.6,3073.8
200042_at,689.6,1036.3,936.8,836.8,800.1,1017.4,398.9,858.8
200043_at,1824.5,3098.5,2689.3,3125.9,2497.8,2780.6,5078.7,2500.1
200044_at,1485.3,1941.2,1895.4,2462.9,1821.7,1924,1170.7,1230
200045_at,938.7,763.2,1006.2,1174.3,856.5,898.6,556.8,490.2
200046_at,1135.2,1713.4,1753.7,1889.1,1221.3,1200.6,987.6,954.2
200047_s_at,3506.2,3399.8,2932.1,2882.9,2843.6,2217.2,8623.3,1210.8
200048_s_at,2719.5,2610,2695.4,2596.1,2960.2,2166,710.3,2854.4
200049_at,496.3,516.9,366.9,431.1,392.1,273.1,253.9,160
200050_at,1109.8,1280.2,1411.8,1345.5,608.8,591.2,2431.5,328.5
200052_s_at,691.8,1193.6,1193.8,1197.7,974.2,719.6,336.9,530.4
200053_at,858.2,715.1,1077.8,1078.9,1217.6,1093.5,847,1110.1
200054_at,364.5,324.4,302.5,317.1,364.6,325.4,31.8,247.3
200055_at,1600.2,2382.4,2758.9,2907.2,2872.5,3454.8,2342.9,2838
200056_s_at,570.6,639.9,556.1,590.3,512.2,224.9,387.9,139.2
200057_s_at,5102.5,3970.5,4592,3866.3,3648.2,3546.6,2947.9,3123.5
200058_s_at,2491.6,2001.5,2083.2,2165.1,1869.7,1211,875.3,1833.6
200059_s_at,6697.2,9967.5,7667,6416.4,7781.4,8487.2,1251.8,6887.4
200060_s_at,2573.5,1987.1,2434.7,1974.5,2100.3,1938.5,2349.8,1236.8
200061_s_at,14140.8,13577.8,13103,9445.1,22851.3,33923.7,35397.7,17405.8
200062_s_at,15691,15604.4,16379.3,11443.7,26833.9,39026.4,58383.8,29614.2
200063_s_at,7404,6709.5,7527.9,6712.3,8353.2,8443.3,11861.9,7603
200064_at,3614.2,3072.8,3876.3,3522.8,2728.1,2606.4,220.2,2023.1
200065_s_at,4107.9,3747.7,3684.1,3782.3,3383.3,3499.4,664.9,2920
200066_at,1187.7,1448.2,1743.1,1205.4,1065.5,1237.7,636.4,1167.2
200067_x_at,2031.7,1777.1,1703.8,1939.9,2084.9,2153.7,4445.4,1819.2
200068_s_at,3125.8,3001.3,2654,2869.3,2448,2691.5,2805.4,1987.4
200069_at,506.9,593.9,448.6,685.6,239.3,129.1,728.6,177.8
200070_at,921.6,755.4,780,783.6,736.9,1151,1244.6,968.3
200071_at,1334.1,1183.2,977.5,1104.5,637.4,483.3,1878,358.9
200072_s_at,1874.7,2455.8,2451.7,2307.9,2193.7,2225.5,1200.9,1580.7
200073_s_at,2267.4,3191.8,2814.5,2220,2881.6,3180.5,5087.5,1506.6
200074_s_at,6546.5,6268.6,6832.4,5803.1,6266.5,5679.6,1957.4,4985.7
200075_s_at,952.3,932.2,1088.3,1115,1160.1,776.5,10.6,828.1
200076_s_at,643.4,545.2,834.9,767.1,573.3,660.4,433,931.1
200077_s_at,8908.8,10182.6,8859.1,7131.8,16380.8,24440.1,12509.4,22859.1
200078_s_at,1078.3,1684.2,2049.2,2472.9,2474,2141.4,132,3033.3
200079_s_at,2275.4,2293.6,2598.9,2559,2099.9,1602.6,1085.2,1666.6
200080_s_at,12947.6,11751.8,10520.7,7776.4,19000.4,36729.6,88899.5,20947.4
200081_s_at,10421.5,11538.7,12791.8,11083.9,16267.8,14600.9,1942.7,12823
200082_s_at,9797,9533,9989.6,7374.2,12921.5,12369.6,941.6,9143.3
200083_at,1166.3,955.7,989.3,1124.8,1319.3,999.9,953.1,583.8
200084_at,2176.5,2381.7,2197.9,2186.1,1906.6,1808.6,4565.1,1202.5
200085_s_at,931.5,2444.8,1980.5,1696.3,2899,2489.4,708.3,2884.7
200086_s_at,5866,2387.7,4192.5,3385.5,4251.5,3893.2,4538.3,3704.2
200087_s_at,2759.2,2942,2518.8,2511.4,2939.7,2902.5,1755.3,1800.1
200088_x_at,10570.1,11904.4,12946.1,10598.4,16234,15417.8,12902.1,16639.3
200089_s_at,8261.6,6485.7,8805.4,7647,12785.3,11482.8,3002.3,11359.6
200090_at,3659.1,2745.6,2813.3,2747.3,2071.9,1735.1,3393.8,1462.1
200091_s_at,10878.4,10092,9170.3,6866.5,11100.8,10264.1,13779.8,7514.6
200092_s_at,14127.2,13125.7,13576.2,10683.3,20672.9,37273.4,59142.3,19309.5
200093_s_at,1694.3,1786.7,2491.4,2394.4,1945.3,1680.9,1293.8,1648
200094_s_at,4460.1,3774.4,9050.9,5717,4550.4,4289.6,2780.5,8208
200095_x_at,18506,17550,18380,13470.4,27909.3,36498.1,58881.6,39527.5
200096_s_at,3421.5,3329.2,3215.1,3220.3,2879.8,3159.6,1016.8,2709.5
200097_s_at,3134.6,3296.2,3201.6,3185.1,3347.2,3445.4,708.6,1729.5
200098_s_at,2470.5,1993.3,1816.3,1757.9,1961.2,1585.5,1307.1,1259
200099_s_at,18081.7,14651.8,14727.7,11626.3,23181.8,32899.1,5679.4,16981.4
200593_s_at,704.7,1815.5,1865.4,1616.7,1567.8,1935.6,1212.6,1797.5
200595_s_at,2222.6,1854.8,2071.3,1763.4,1406.1,1289.3,2248.8,998.3
200599_s_at,3429.9,3710,3854.1,2765.3,5653.7,5083.2,3621.7,1902.8
200600_at,4730.6,5397.5,4721.5,4116.4,4642.5,4744.4,749.7,4082.7
200601_at,949.5,660.6,674.2,822.5,959.1,835.6,50,810.9
200602_at,245,178.3,397.1,499.3,594.1,387.4,2816.4,400.5
200603_at,5844.5,3740.1,3450.5,3660.4,3481,2632.6,5704.6,956.3
200606_at,100.2,62.8,162.9,208.4,164.3,214.2,400.1,105.5
200608_s_at,2062.7,2075.6,1829.7,1751.7,1579.5,1518.6,1481.2,1083.6
200609_s_at,3893.6,2666.2,2388.9,2499.5,2640.5,2345.3,4408.2,4025.5
200610_s_at,2154.4,4145.5,4508.2,3876.6,2762,2198.1,3891.4,1345.2
200612_s_at,990.4,764.9,437.9,494.5,689.2,825.1,420.3,702.2
200613_at,1453.8,1325.8,1812.4,2074.9,1302.4,1339.3,16.7,1311
200614_at,3646.8,2885.8,3205.4,3311.2,3197.4,2938,1847.8,3457.3
200618_at,2034.9,2214.7,2219.7,1982.1,2114.6,1677,974.8,2469.1
200620_at,2689.6,2685.6,2237.3,2142.2,2572.7,2998.5,2688.7,3857.3
200621_at,469.9,598,725.6,839.4,784.4,818.4,528.8,830.1
200623_s_at,886.9,611.5,682.9,682.1,991.4,1414.2,1226.2,1289.8
200626_s_at,2112.6,2665.3,2590,2370.3,1422.9,1246.5,1043.3,858.7
200627_at,3322.2,3757.6,3782.7,3470.8,3139.4,2288.9,3285.5,2512
200629_at,1064.2,3828.3,2023.8,2033.7,3150.4,2723.3,1385.8,3927.1
200631_s_at,2518.3,2445.9,2948.9,2330.1,2445.2,2495.8,1064.8,1466.5
200632_s_at,1030.9,714.5,1117,961.7,983.6,748.6,538.8,1076.8
200633_at,13007.2,11037.7,9859.2,8253.4,13576.3,11628.9,49082,15681.4
200634_at,3545.8,7190.1,6975.8,6192.2,8439.8,7323.6,809.9,8254.8
200640_at,3602.5,4751.4,5247.8,5087.8,3548.4,4086.7,586.8,4811.1
200644_at,841.7,570.5,602.5,752.7,714.9,551.9,497.2,437.2
200645_at,5767.6,5325.3,5269.6,5405.5,6782,7556.2,590.2,7388.8
200649_at,491,369.7,433.3,585.2,625.3,565.4,131.9,854.9
200650_s_at,2639.8,4081.3,3412.4,2700.4,5187.9,5033.3,1967.5,6196.1
200651_at,7590.6,8509.6,10675.1,8788,11470.2,11367.6,1250,9717.4
200652_at,2688.3,2796.2,3145.3,2670.4,3145.8,2290.6,438.6,2364.8
200655_s_at,4084.3,5713.7,4614.3,4660.3,8188.2,6926.1,16115.1,8596.1
200656_s_at,957.7,1235.9,1283,1594.1,708.1,1353.2,230.7,492.3
200657_at,3262.6,4373.7,5264.8,5047.6,5528.8,4936,2534.9,5960.2
200658_s_at,320.3,537.2,498.6,500,435.3,473.8,18.1,208.4
200662_s_at,1299.9,1416.6,1425.2,1602.2,1421.3,852.5,813.2,594.4
200663_at,2807.1,3450.6,2392.3,2905.5,7561.2,7347.7,1406.7,8152.8
200665_s_at,836.8,625.5,721,989.3,2344.6,2703.6,3131.2,1670.1
200666_s_at,1676,1247,1320.5,1349.1,846.5,843.8,203.2,1236.6
200668_s_at,4509.1,4814.8,4816.8,4456.6,3947,4256.3,3559.2,4960.8
200670_at,1481,1167.1,1217.8,1271.3,1461.5,1338.9,494.3,600.3
200673_at,3854.8,3713.6,3150.7,3018,3313.2,3101.3,2398.5,3129
200674_s_at,11403.8,11804.3,12021,8938.6,18357.4,24071,29293,21067.1
200675_at,2934.1,2404.3,1938.7,1990.2,1164.9,770.8,484.8,520.6
200677_at,1681.1,1777.3,2260.1,2108.3,2243.4,2248.9,4345.6,2915
200679_x_at,1034.5,1700.9,1691,1467.7,1711.4,1712.3,941.5,1653.7
200681_at,1216.8,808.3,877.8,961.1,867.8,822.4,1060.5,810.9
200682_s_at,1904.9,2161.3,1881.8,2103,2607.8,2525.3,388.5,2078.1
200686_s_at,4211.1,4019.3,3627.6,2792.2,1980.2,1102.9,4541.7,865.1
200687_s_at,877.1,754,599.8,589,487.1,612.4,1001.8,296.3
200691_s_at,725.9,1327.2,1407.1,1358.2,890.9,688,1092.6,795.3
200694_s_at,1984.7,1693.9,1314.6,1212.8,1091.6,974.1,2209,1002
200696_s_at,614.7,692.3,1139.3,847.8,1964.6,1639.4,632.3,2274.9
