ID,GB_ACC,Gene Symbol
1007_s_at,U48705,DDR1 /// MIR4640
1053_at,M87338,RFC2
117_at,X51757,HSPA6
121_at,X69699,PAX8
1255_g_at,L36861,GUCA1A
1294_at,L13852,MIR5193 /// UBA7
1316_at,X55005,THRA
1320_at,X79510,PTPN21
1431_at,J02843,CYP2E1
1438_at,X75208,EPHB3
1487_at,L38487,ESRRA
1494_f_at,M33318,CYP2A6
1598_g_at,L13720,GAS6
160020_at,Z48481,MMP14
1729_at,L41690,TRADD
1773_at,L00635,CHURC1-FNTB /// FNTB
177_at,U38545,PLD1
1861_at,U66879,BAD
200000_s_at,NM_006445,PRPF8
200001_at,NM_001749,CAPNS1
200002_at,NM_007209,RPL35
200003_s_at,NM_000991,MIR6805 /// RPL28
200004_at,NM_001418,EIF4G2
200005_at,NM_003753,EIF3D
200006_at,NM_007262,PARK7
200007_at,NM_003134,SRP14
200008_s_at,D13988,GDI2
200009_at,NM_001494,GDI2
200010_at,NM_000975,RPL11
200011_s_at,NM_001659,ARF3
200012_x_at,NM_000982,RPL21 /// RPL21P28 /// SNORA27 /// SNORD102
200013_at,NM_000986,RPL24
200014_s_at,NM_004500,HNRNPC
200015_s_at,NM_004404,SEPT2
200016_x_at,NM_002136,HNRNPA1 /// HNRNPA1P10
200017_at,NM_002954,RPS27A
200018_at,NM_001017,LOC100508408 /// RPS13 /// SNORD14B
200019_s_at,NM_001997,FAU
200020_at,NM_007375,TARDBP
200021_at,NM_005507,CFL1
200022_at,NM_000979,RPL18
200023_s_at,NM_003754,EIF3F
200024_at,NM_001009,RPS5
200025_s_at,NM_000988,RPL27
200026_at,NM_000995,RPL34
200027_at,NM_004539,NARS
200028_s_at,NM_020151,STARD7
200029_at,NM_000981,RPL19
200030_s_at,NM_002635,SLC25A3
200031_s_at,NM_001015,RPS11 /// SNORD35B
200032_s_at,NM_000661,RPL9
200033_at,NM_004396,DDX5 /// MIR3064 /// MIR5047
200034_s_at,NM_000970,RPL6
200035_at,NM_015343,CTDNEP1
200036_s_at,NM_007104,RPL10A
200037_s_at,NM_016587,CBX3
200038_s_at,NM_000985,C18orf32 /// RPL17 /// RPL17-C18orf32 /// SNORD58A /// SNORD58B /// SNORD58C
200039_s_at,NM_002794,PSMB2
200040_at,NM_006559,KHDRBS1
200041_s_at,NM_004640,ATP6V1G2-DDX39B /// DDX39B /// SNORD84
200042_at,NM_014306,RTCB
200043_at,NM_004450,ERH
200044_at,NM_003769,GATC /// SRSF9
200045_at,NM_001090,ABCF1
200046_at,NM_001344,DAD1
200047_s_at,NM_003403,YY1
200048_s_at,NM_006694,JTB
200049_at,NM_007067,KAT7
200050_at,NM_007145,ZNF146
200051_at,NM_005146,SART1
200052_s_at,NM_004515,ILF2
200053_at,NM_004890,SPAG7
200054_at,NM_003904,ZPR1
200055_at,NM_006284,TAF10
200056_s_at,NM_006333,C1D
200057_s_at,NM_007363,NONO
200058_s_at,BC001417,LOC101929240 /// SNRNP200
200059_s_at,BC001360,RHOA
200060_s_at,BC001659,RNPS1
200061_s_at,BC000523,RPS24
200062_s_at,L05095,RPL30
200063_s_at,BC002398,NPM1
200064_at,AF275719,HSP90AB1
200065_s_at,AF052179,ARF1 /// MIR3620
200066_at,AF182645,IK
200067_x_at,AL078596,SNX3
200068_s_at,M94859,CANX
200069_at,AI656011,SART3
200070_at,BC001393,CNPPD1
200071_at,BF224259,SMNDC1
200072_s_at,AF061832,HNRNPM
200073_s_at,M94630,HNRNPD
200074_s_at,U16738,RPL14
200075_s_at,BC006249,GUK1
200076_s_at,BC006479,KXD1
200077_s_at,D87914,OAZ1
200078_s_at,BC005876,ATP6V0B
200079_s_at,AF285758,KARS
200080_s_at,AI955655,H3F3A /// H3F3AP4 /// H3F3B
200081_s_at,BE741754,RPS6
200082_s_at,AI805587,RPS7
200083_at,AA621731,USP22
200084_at,BE748698,C11orf58
200085_s_at,NM_007108,TCEB2
200086_s_at,AA854966,COX4I1
200087_s_at,AK024976,TMED2
200088_x_at,AK026491,NBEAL1 /// RPL12
200089_s_at,AI953886,RPL4 /// SNORD16 /// SNORD18A /// SNORD18B /// SNORD18C
200090_at,BG168896,FNTA
200091_s_at,AA888388,RPS25
200092_s_at,BF216701,RPL37
200093_s_at,N32864,HINT1
200094_s_at,AI004246,EEF2
200095_x_at,AA320764,RPS10
200096_s_at,AI862255,ATP6V0E1
200097_s_at,AI701949,HNRNPK
200098_s_at,T33068,ANAPC5
200099_s_at,AL356115,RPS3A /// SNORD73A
200593_s_at,BC003621,HNRNPU
200595_s_at,NM_003750,EIF3A
200599_s_at,NM_003299,HSP90B1 /// MIR3652
200600_at,NM_002444,MSN
200601_at,U48734,ACTN4
200602_at,NM_000484,APP
200603_at,AL050038,PRKAR1A
200606_at,NM_004415,DSP
200608_s_at,NM_006265,RAD21
200609_s_at,NM_017491,WDR1
200610_s_at,NM_005381,NCL
200612_s_at,NM_001282,AP2B1
200613_at,NM_004068,AP2M1
200614_at,NM_004859,CLTC
200618_at,NM_006148,LASP1
200619_at,NM_006842,SF3B2
200620_at,NM_004872,TMEM59
200621_at,NM_004078,CSRP1
200623_s_at,NM_005184,CALM1 /// CALM2 /// CALM3
200626_s_at,NM_018834,MATR3 /// SNHG4
200627_at,BC003005,PTGES3
200629_at,NM_004184,WARS
200631_s_at,NM_003011,SET /// SETSIP
200632_s_at,NM_006096,NDRG1
200633_at,NM_018955,UBB
200634_at,NM_005022,PFN1
200636_s_at,NM_002840,PTPRF
200640_at,NM_003406,YWHAZ
200642_at,NM_000454,SOD1
200643_at,NM_005336,HDLBP
200644_at,NM_023009,MARCKSL1
200645_at,NM_007278,GABARAP
200649_at,BC002356,NUCB1
200650_s_at,NM_005566,LDHA
200651_at,NM_006098,GNB2L1 /// SNORD95 /// SNORD96A
200652_at,NM_003145,SSR2
200655_s_at,NM_006888,CALM1 /// CALM2 /// CALM3
200656_s_at,NM_000918,P4HB
200657_at,NM_001152,SLC25A5
200658_s_at,AL560017,PHB
200660_at,NM_005620,S100A11
200661_at,NM_000308,CTSA
200662_s_at,NM_014765,TOMM20
200663_at,NM_001780,CD63
200665_s_at,NM_003118,SPARC
200666_s_at,NM_006145,DNAJB1
200668_s_at,BC003395,UBE2D3
200670_at,NM_005080,XBP1
200673_at,NM_014713,LAPTM4A
200674_s_at,NM_000994,RPL32
200675_at,NM_004356,CD81
200677_at,NM_004339,PTTG1IP
200679_x_at,BE311760,HMGB1
200681_at,NM_006708,GLO1
200682_s_at,BG531983,UBE2L3
200686_s_at,NM_004768,SRSF11
200687_s_at,NM_012426,SF3B3
200691_s_at,BC000478,HSPA9
200694_s_at,NM_020414,DDX24
200695_at,NM_014225,PPP2R1A
200696_s_at,NM_000177,GSN
200697_at,NM_000188,HK1
200699_at,BE962456,KDELR2
200701_at,NM_006432,NPC2
200703_at,NM_003746,DYNLL1
200704_at,AB034747,LITAF
200705_s_at,NM_001959,EEF1B2 /// SNORA41
200707_at,NM_002743,PRKCSH
200708_at,NM_002080,GOT2
200709_at,NM_000801,FKBP1A /// LOC101929368
200710_at,NM_000018,ACADVL
200713_s_at,NM_012325,MAPRE1
200716_x_at,NM_012423,RPL13A /// RPL13AP5 /// SNORD32A /// SNORD33 /// SNORD34 /// SNORD35A
200717_x_at,NM_000971,RPL7
200718_s_at,AA927664,SKP1
200720_s_at,AL532341,ACTR1A
200722_s_at,BG258784,CAPRIN1
200726_at,NM_002710,PPP1CC
200728_at,BE566290,ACTR2
200733_s_at,U48296,PTP4A1
200735_x_at,NM_005594,NACA
200736_s_at,NM_000581,GPX1
200738_s_at,NM_000291,PGK1
200740_s_at,NM_006936,SUMO3
200741_s_at,NM_001030,RPS27
200743_s_at,NM_000391,TPP1
200745_s_at,AF070603,GNB1
200747_s_at,NM_006185,NUMA1
200748_s_at,NM_002032,FTH1
200750_s_at,AF054183,RAN
200752_s_at,NM_005186,CAPN1
200757_s_at,NM_001219,CALU
200761_s_at,NM_006407,ARL6IP5
200762_at,NM_001386,DPYSL2
200763_s_at,NM_001003,RPLP1
200764_s_at,AI826881,CTNNA1
200766_at,NM_001909,CTSD
200768_s_at,BC001686,MAT2A
200771_at,NM_002293,LAMC1
200773_x_at,NM_002823,PTMA
200779_at,NM_001675,ATF4
200781_s_at,NM_001019,RPS15A
200782_at,NM_001154,ANXA5
200783_s_at,NM_005563,STMN1
200785_s_at,NM_002332,LRP1
200786_at,NM_002799,PSMB7
